iter	Passed	Remaining
170	10542	51107
171	10610	51080
172	10670	51006
173	10728	50930
174	10788	50862
175	10847	50787
176	10916	50758
177	10973	50677
178	11040	50636
179	11106	50595
180	11165	50522
181	11225	50453
182	11287	50393
183	11349	50330
184	11421	50316
185	11473	50213
186	11539	50167
187	11604	50120
188	11668	50070
189	11730	50007
190	11783	49910
191	11846	49854
192	11902	49768
193	11967	49718
194	12015	49601
195	12078	49547
196	12144	49504
197	12207	49446
198	12270	49391
199	12326	49305
200	12385	49235
201	12446	49170
202	12505	49099
203	12566	49033
204	12620	48941
205	12681	48878
206	12759	48880
207	12824	48832
208	12886	48771
209	12946	48704
210	13012	48658
211	13069	48579
212	13138	48545
213	13198	48477
214	13254	48393
215	13311	48314
216	13364	48223
217	13425	48158
218	13483	48086
219	13544	48019
220	13607	47964
221	13662	47879
222	13722	47811
223	13775	47721
224	13836	47658
225	13893	47580
226	13955	47523
227	14020	47474
228	14095	47457
229	14160	47406
230	14212	47314
231	14273	47248
232	14330	47173
233	14390	47108
234	14448	47033
235	14506	46962
236	14567	46897
237	14628	46834
238	14687	46765
239	14738	46672
240	14797	46601
241	14860	46545
242	14917	46471
243	14981	46418
244	15039	46347
245	15097	46275
246	15166	46237
247	15228	46177
248	15287	46109
249	15343	46030
250	15410	45987
251	15465	45906
252	15522	45831
253	15587	45781
254	15643	45704
255	15706	45648
256	15766	45583
257	15824	45511
258	15891	45467
259	15953	45404
260	16015	45347
261	16084	45305
262	16140	45230
263	16189	45135
264	16250	45072
265	16312	45013
266	16369	44940
267	16430	44876
268	16492	44817
269	16550	44748
270	16612	44687
271	16675	44630
272	16739	44578
273	16816	44557
274	16876	44492
275	16931	44415
276	16989	44344
277	17041	44259
278	17095	44179
279	17156	44115
280	17215	44049
281	17275	43986
282	17336	43923
283	17397	43861
284	17470	43828
285	17530	43764
286	17587	43693
287	17646	43627
288	17707	43563
289	17764	43491
290	17816	43409
291	17874	43340
292	17926	43257
293	17992	43205
294	18046	43129
295	18107	43067
296	18179	43030
297	18233	42953
298	18286	42873
299	18344	42803
300	18408	42750
301	18461	42669
302	18524	42613
303	18589	42559
304	18644	42485
305	18704	42420
306	18760	42347
307	18819	42283
308	18875	42209
309	18935	42146
310	18993	42078
311	19055	42018
312	19119	41965
313	19178	41899
314	19237	41834
315	19300	41777
316	19362	41717
317	19420	41650
318	19486	41600
319	19548	41540
320	19605	41470
321	19656	41389
322	19716	41325
323	19780	41271
324	19846	41219
325	19903	41149
326	19959	41079
327	20020	41018
328	20082	40958
329	20135	40880
330	20204	40836
331	20278	40800
332	20356	40773
333	20424	40725
334	20483	40661
335	20543	40597
336	20602	40531
337	20654	40453
338	20715	40393
339	20773	40325
340	20847	40288
341	20906	40224
342	20962	40152
343	21018	40082
344	21079	40021
345	21141	39961
346	21207	39908
347	21260	39832
348	21325	39779
349	21385	39716
350	21440	39642
351	21493	39568
352	21553	39504
353	21614	39442
354	21678	39387
355	21734	39316
356	21796	39258
357	21852	39188
358	21916	39131
359	21971	39060
360	22032	38999
361	22095	38941
362	22162	38891
363	22221	38827
364	22283	38766
365	22347	38710
366	22410	38653
367	22465	38581
368	22529	38525
369	22593	38469
370	22659	38417
371	22722	38359
372	22773	38282
373	22838	38227
374	22891	38152
375	22969	38119
376	23039	38073
377	23098	38008
378	23165	37957
379	23222	37888
380	23276	37816
381	23334	37750
382	23392	37684
383	23458	37631
384	23524	37578
385	23588	37521
386	23643	37451
387	23697	37378
388	23759	37318
389	23812	37245
390	23866	37173
391	23922	37104
392	23989	37053
393	24054	36997
394	24107	36924
395	24161	36852
396	24222	36791
397	24283	36730
398	24336	36657
399	24398	36597
